selection,target,setting_id,documents,method,router,clusters,probes,node_budget,leaf_size,key_bits,candidate_target,exploration,seeds,recall,recall_low,p50_ms,p95_ms,sources,lifetime_peak_bytes
mean,0.8,s0725,100000,scan,ivf,4096,1671,0,0,0,0,0,0,0.8005,0.7784875,1.332312822341919,1.364094135351479,1,70057984
conservative,0.8,s0593,100000,scan,ivf,4096,2361,0,0,0,0,0,0,0.9,0.8854875,1.9176460336893797,2.0303768338635564,1,69910528
mean,0.8,s0367,100000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.1496251206845045,0.20816908217966554,1,62947328
conservative,0.8,s0367,100000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.1496251206845045,0.20816908217966554,1,62947328
mean,0.8,s0166,100000,keys,direct,256,136,0,0,4,0,0,0,0.801,0.7129875,1.5018954873085022,1.5638524666428566,1,58834944
conservative,0.8,s0088,100000,keys,ivf,256,189,0,0,4,0,0,0,0.902,0.888,2.1133755799382925,2.173604629933834,1,58556416
mean,0.9,s0593,100000,scan,ivf,4096,2361,0,0,0,0,0,0,0.9,0.8854875,1.9176460336893797,2.0303768338635564,1,69910528
conservative,0.9,s0315,100000,scan,ivf,256,218,0,0,0,0,0,0,0.9505,0.941,2.1895004902035,2.2507939720526333,1,62947328
mean,0.9,s0367,100000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.1496251206845045,0.20816908217966554,1,62947328
conservative,0.9,s0367,100000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.1496251206845045,0.20816908217966554,1,62947328
mean,0.9,s0088,100000,keys,ivf,256,189,0,0,4,0,0,0,0.902,0.888,2.1133755799382925,2.173604629933834,1,58556416
conservative,0.9,s0066,100000,keys,ivf,256,218,0,0,4,0,0,0,0.9505,0.9415,2.4217290338128805,2.648491971194744,1,58441728
mean,0.95,s0315,100000,scan,ivf,256,218,0,0,0,0,0,0,0.9505,0.941,2.1895004902035,2.2507939720526333,1,62947328
conservative,0.95,s0325,100000,scan,ivf,16,15,0,0,0,0,0,0,0.9745,0.965,2.364604501053691,2.5286104762926698,1,58474496
mean,0.95,s0367,100000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.1496251206845045,0.20816908217966554,1,62947328
conservative,0.95,s0367,100000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.1496251206845045,0.20816908217966554,1,62947328
mean,0.95,s0066,100000,keys,ivf,256,218,0,0,4,0,0,0,0.9505,0.9415,2.4217290338128805,2.648491971194744,1,58441728
conservative,0.95,s0404,100000,keys,ivf,16,15,0,0,4,0,0,0,0.9745,0.9655,2.57485406473279,2.705300017260015,1,56918016
mean,0.99,s0243,100000,scan,direct,256,247,0,0,0,0,0,0,0.99,0.983,2.4723540991544724,2.6441243244335055,1,63143936
conservative,0.99,s0926,100000,scan,direct,16,16,0,0,0,0,0,0,1.0,1.0,2.524979179725051,3.0068910913541886,1,58654720
mean,0.99,s0367,100000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.1496251206845045,0.20816908217966554,1,62947328
conservative,0.99,s0367,100000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.1496251206845045,0.20816908217966554,1,62947328
mean,0.99,s0727,100000,keys,none,1,1,0,0,8,0,0,0,1.0,1.0,2.6870835572481155,2.838485431857407,1,56492032
conservative,0.99,s0727,100000,keys,none,1,1,0,0,8,0,0,0,1.0,1.0,2.6870835572481155,2.838485431857407,1,56492032
mean,0.8,s0773,1000000,scan,ivf,8192,3514,0,0,0,0,0,0,0.8,0.7835,11.352104600518942,11.746431235224009,1,196313088
conservative,0.8,s0393,1000000,scan,ivf,8192,4920,0,0,0,0,0,0,0.9,0.886,16.144686844199896,16.422349330969155,1,196608000
mean,0.8,s0105,1000000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.14841603115200996,0.20032287575304508,1,184827904
conservative,0.8,s0105,1000000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.14841603115200996,0.20032287575304508,1,184827904
mean,0.8,s0747,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,13.584750005975366,27.235311805270612,1,136036352
conservative,0.8,s0747,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,13.584750005975366,27.235311805270612,1,136036352
mean,0.9,s0393,1000000,scan,ivf,8192,4920,0,0,0,0,0,0,0.9,0.886,16.144686844199896,16.422349330969155,1,196608000
conservative,0.9,s0361,1000000,scan,ivf,4096,3010,0,0,0,0,0,0,0.95,0.9389875,18.94622901454568,19.13944873958826,1,188301312
mean,0.9,s0105,1000000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.14841603115200996,0.20032287575304508,1,184827904
conservative,0.9,s0105,1000000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.14841603115200996,0.20032287575304508,1,184827904
mean,0.9,s0747,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,13.584750005975366,27.235311805270612,1,136036352
conservative,0.9,s0747,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,13.584750005975366,27.235311805270612,1,136036352
mean,0.95,s0361,1000000,scan,ivf,4096,3010,0,0,0,0,0,0,0.95,0.9389875,18.94622901454568,19.13944873958826,1,188301312
conservative,0.95,s0287,1000000,scan,ivf,16,15,0,0,0,0,0,0,0.968,0.9589875,23.426062427461147,24.09978499636054,1,139722752
mean,0.95,s0105,1000000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.14841603115200996,0.20032287575304508,1,184827904
conservative,0.95,s0105,1000000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.14841603115200996,0.20032287575304508,1,184827904
mean,0.95,s0747,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,13.584750005975366,27.235311805270612,1,136036352
conservative,0.95,s0747,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,13.584750005975366,27.235311805270612,1,136036352
mean,0.99,s0385,1000000,scan,ivf,4096,3734,0,0,0,0,0,0,0.99,0.9855,23.434228962287307,23.57855630107224,1,188235776
conservative,0.99,s0520,1000000,scan,ivf,256,255,0,0,0,0,0,0,1.0,1.0,24.7663960326463,26.22776299249381,1,157286400
mean,0.99,s0105,1000000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.14841603115200996,0.20032287575304508,1,184827904
conservative,0.99,s0105,1000000,branch,none,1,1,0,128,0,0,0,0,1.0,1.0,0.14841603115200996,0.20032287575304508,1,184827904
mean,0.99,s0747,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,13.584750005975366,27.235311805270612,1,136036352
conservative,0.99,s0747,1000000,keys,none,1,1,0,0,12,0,0,0,1.0,1.0,13.584750005975366,27.235311805270612,1,136036352
